Department Family,Entity,Invoice Date,Consolidated Expense Type,Expense area,Supplier,Purchase Invoice Number,Invoice Value,Description
Department of Health and Social Care ,NHS Digital ,8/9/2019,Data Purchases and Services,Platforms and Infrastructure,EXPONENTIAL-E,433881,"66,183.00",Data Lines
Department of Health and Social Care ,NHS Digital ,4/1/2019,Workpackage,Product Development,FEDERATION FOR INFORMATICS PROFESSIONALS,INV00003,"109,584.52",Workpackages
Department of Health and Social Care ,NHS Digital ,8/28/2019,Workpackage,Product Development,FEDERATION FOR INFORMATICS PROFESSIONALS,INV00004,"80,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/27/2019,Fixtures & Fittings,Corporate Services,FLEXIFORM BUSINESS FURNITURE LTD,M54845,"37,605.66",Additions - Fixtures & Fittings
Department of Health and Social Care ,NHS Digital ,4/9/2019,Workpackage,Product Development,FUTUREGOV LTD,900,"32,937.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/16/2019,Workpackage,Product Development,FUTUREGOV LTD,928,"64,187.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2019,Workpackage,Product Development,FUTUREGOV LTD,958,"55,196.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/14/2019,Workpackage,Product Development,FUTUREGOV LTD,987,"50,160.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/14/2019,Workpackage,Product Development,FUTUREGOV LTD,988,"50,880.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/14/2019,Workpackage,Product Development,FUTUREGOV LTD,989,"25,920.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/14/2019,Workpackage,Product Development,FUTUREGOV LTD,928CN,"-64,187.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/14/2019,Workpackage,Product Development,FUTUREGOV LTD,958CN,"-55,196.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/28/2019,Managed Service,"Strategy,Policy and Governance",GARTNER UK LTD,20100305,"162,840.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/22/2019,Workpackage,"Strategy,Policy and Governance",GARTNER UK LTD,20102629,"44,880.00",Workpackages
Department of Health and Social Care ,NHS Digital ,9/4/2019,Workpackage,"Strategy,Policy and Governance",GARTNER UK LTD,20102860,"221,160.00",Workpackages
Department of Health and Social Care ,NHS Digital ,9/4/2019,Workpackage,"Strategy,Policy and Governance",GARTNER UK LTD,20102859CR,"-122,130.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/16/2019,Workpackage,Product Development,GOOD THINGS FOUNDATION,1952,"382,655.60",Workpackages
Department of Health and Social Care ,NHS Digital ,5/24/2019,Software,"Data, Insights and Statistics",GS1 UK,140355774,"564,000.00",Software / License / Maint / PEN Test / Continuity
Department of Health and Social Care ,NHS Digital ,3/30/2019,Marketing,Corporate Services,GUARDIAN NEWS & MEDIA LTD,1174593,"29,400.00",Advertising General
Department of Health and Social Care ,NHS Digital ,3/29/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1079147,"324,185.83",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/5/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1081457,"319,759.92",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/12/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1084043,"270,969.16",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/18/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1086543,"271,679.41",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/26/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1090000,"219,077.73",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/3/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1093731,"255,819.47",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/10/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1096744,"307,325.65",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/17/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1100223,"277,554.66",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/24/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1103597,"295,002.71",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/31/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1107499,"314,625.77",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/7/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1109978,"240,206.08",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/14/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1113431,"328,266.48",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/21/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1115768,"303,304.68",Contingent Labour
Department of Health and Social Care ,NHS Digital ,6/27/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1119989,"294,040.97",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/5/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1123259,"348,770.40",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/12/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1125808,"297,151.00",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/19/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1128925,"278,589.07",Contingent Labour
Department of Health and Social Care ,NHS Digital ,7/26/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1131196,"284,467.54",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/2/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1134206,"266,168.63",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/9/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1137886,"324,114.55",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/16/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1141234,"377,568.62",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/23/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1143093,"292,060.64",Contingent Labour
Department of Health and Social Care ,NHS Digital ,8/30/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1145928,"281,755.27",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/6/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1150176,"281,202.40",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/13/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1152058,"314,892.18",Contingent Labour
Department of Health and Social Care ,NHS Digital ,9/20/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1155552,"324,270.68",Contingent Labour
Department of Health and Social Care ,NHS Digital ,5/9/2019,Contingent Labour,Various,HAYS SPECIALIST RECRUITMENT LTD,1009616119,"-116,816.29",Contingent Labour
Department of Health and Social Care ,NHS Digital ,4/2/2019,Workpackage,Live Services (incl. Cyber Security),HEALTH EDUCATION ENGLAND,49303361,"87,300.00",Workpackages
Department of Health and Social Care ,NHS Digital ,9/12/2019,Workpackage,Live Services (incl. Cyber Security),HEALTH EDUCATION ENGLAND,49303743,"25,000.00",Workpackages
Department of Health and Social Care ,NHS Digital ,2/28/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0083A,"103,968.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0104,"155,433.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0106,"51,708.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0112,"34,524.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0113,"36,426.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0115,"44,838.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0126,"147,972.00",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0135A,"54,260.04",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0136,"33,867.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0144,"142,596.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0154,"33,390.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0155,"52,125.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0162,"171,084.00",Workpackages
Department of Health and Social Care ,NHS Digital ,6/30/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0163,"42,951.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Product Development,HIPPO DIGITAL LIMITED,INV0185,"43,920.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Product Development,HIPPO DIGITAL LIMITED,INV0186,"40,530.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0187,"37,530.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0188,"192,423.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0197,"38,160.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0198,"33,210.00",Workpackages
Department of Health and Social Care ,NHS Digital ,8/31/2019,Workpackage,Platforms and Infrastructure,HIPPO DIGITAL LIMITED,INV0228,"36,279.00",Workpackages
Department of Health and Social Care ,NHS Digital ,5/30/2019,Managed Service,Platforms and Infrastructure,HM LAND REGISTRY,7300117000,"125,212.50",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,8/27/2019,Managed Service,Platforms and Infrastructure,HM LAND REGISTRY,7300196001,"125,212.50",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,4/15/2019,Rent,Corporate Services,HM REVENUE & CUSTOMS,1.80E+13,"45,787.16",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,8/22/2019,Rent,Corporate Services,HM REVENUE & CUSTOMS,1.80E+13,"60,690.26",Rent / Service Charge / Storage (not Documents/Records)
Department of Health and Social Care ,NHS Digital ,3/25/2019,Workpackage,Product Development,IBM UK LTD,5803191509,"79,874.20",Workpackages
Department of Health and Social Care ,NHS Digital ,3/25/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5803191603,"345,325.38",Workpackages
Department of Health and Social Care ,NHS Digital ,3/25/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5803191604,"344,240.58",Workpackages
Department of Health and Social Care ,NHS Digital ,3/28/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5803192231,"232,800.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/28/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5803192232,"319,723.20",Workpackages
Department of Health and Social Care ,NHS Digital ,3/28/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5803192233,"39,600.00",Workpackages
Department of Health and Social Care ,NHS Digital ,3/31/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5803192961,"38,767.10",Workpackages
Department of Health and Social Care ,NHS Digital ,4/1/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5804190000,"334,387.20",Workpackages
Department of Health and Social Care ,NHS Digital ,4/15/2019,Workpackage,Product Development,IBM UK LTD,5804190596,"200,985.12",Workpackages
Department of Health and Social Care ,NHS Digital ,4/30/2019,Workpackage,Product Development,IBM UK LTD,5804191817,"308,767.64",Workpackages
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191180,"80,577.60",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191182,"26,472.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191183,"167,193.60",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191184,"39,600.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191185,"232,800.00",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191186,"319,723.20",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,5/23/2019,Managed Service,Live Services (incl. Cyber Security),IBM UK LTD,5805191187,"342,915.78",Fully Managed and Other Outsourced IT Services
Department of Health and Social Care ,NHS Digital ,6/4/2019,Workpackage,Product Development,IBM UK LTD,5806190048,"39,271.27",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190406,"75,324.73",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190408,"80,577.60",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190410,"26,472.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190411,"167,193.60",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190412,"39,600.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190413,"41,976.00",Workpackages
Department of Health and Social Care ,NHS Digital ,7/11/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5807190414,"173,702.40",Workpackages
Department of Health and Social Care ,NHS Digital ,7/29/2019,Workpackage,Product Development,IBM UK LTD,5807191610,"28,256.40",Workpackages
Department of Health and Social Care ,NHS Digital ,8/9/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5808190399,"121,225.50",Workpackages
Department of Health and Social Care ,NHS Digital ,8/9/2019,Workpackage,Live Services (incl. Cyber Security),IBM UK LTD,5808190400,"122,461.50",Workpackages
